Generated Query,First Document,Mean Content Precision,Mean Content Recall,Mean Content F1,First Exercise,Mean Exercise Precision,Mean Exercise Recall,Mean Exercise F1
"Here is a true/false question for the topic ""Drivers of global tourism growth"" for Form 2 students:

True or False: Advancements in communication and transportation networks are a factor that discourages the growth of tourism.","### Factors for the development and growth of tourism in the world  
The following are factors for the development and growth of tourism. These factors are features that encourage tourists to visit places for leisure, pleasure or education.  
- Tourist attractions: Tourist attractions include places with pleasant climate, beautiful and varied sceneries, different cultures, historical sites and monuments. Also, some features in Tanzania such as Mount Kilimanjaro, the highest free-standing mountain in the world, attract tourists.
- Advancement in communication and transportation network: Reliable communication network and advanced technology encourage the development of tourism in a country. For example, the use of the internet, television programmes, and social media, tourism trade fair and exhibitions has facilitated availability of information on tourism, hence it has led to an influx of tourists.",tensor(0.4902),tensor(0.5080),tensor(0.4982),Mention five factors for the development and growth of tourism in the world.,tensor(0.5642),tensor(0.4524),tensor(0.5018)
"True or False: Manufacturing industries can be grouped into three main types, namely, processing, fabrication, and construction industries.","### Types of manufacturing industries  
Manufacturing industries can be grouped into two main types, namely, processing and fabrication industries.",tensor(0.4778),tensor(0.5521),tensor(0.5104),"Write True or False for the following statement:  
Tertiary activities provide services whereas secondary activities are done for processing and manufacturing goods.",tensor(0.5290),tensor(0.4834),tensor(0.5047)
"Here is a true or false statement on Traditional fallowing techniques to test form 2 students:

True or False: In bush fallowing, people move to a new area after three to five years of farming, leaving the land to regain its fertility.","Small-scale crop cultivation is done by using different methods such as shifting cultivation, crop rotation, and bush fallowing.",tensor(0.4710),tensor(0.4883),tensor(0.4777),"Traditional livestock farming is practised in areas where there is:
(a) Very low rainfall
(b) Heavy rainfall
(c) No rainfall
(d) Dry lands",tensor(0.4457),tensor(0.3417),tensor(0.3817)
Define post-harvest processing of tea.,"#### Harvesting, processing, storage and transportation of tea:  
It takes two years for tea plants to be ready for harvesting. Picking of tea leaves requires experience because if it is done poorly, it may result in low-quality tea. Tea plants are normally plucked for 3-4 years after which all old branches are pruned for new shoots to grow. The plucked tea leaves undergo fermentation under regulated moisture to ensure quality tea product. Thereafter, tea leaves are rolled to enhance the breakup of the leaf cells and fibres. The leaves are then dried in temperatures of about 105°C. This process is called roasting or firing. Roasting stops fermentation and reduces moisture. Cool and dried tea is sorted in different sizes and graded. Unwanted particles are removed before packing. At this stage, tea is ready for consumption and export. Figure 2.6 shows the plucking of tea leaves in Iringa.  
Figure 2.6 Tea plucking in Mufindi, Iringa  
Source: Tea production...ratetea.com",tensor(0.3670),tensor(0.5293),tensor(0.4332),Mention three conditions necessary for successful growing of coffee.,tensor(0.4511),tensor(0.5978),tensor(0.5062)
What is the main source of groundwater?,"### Sustainable use of water resources  
Water resources come in many forms, but the three main categories are saltwater, groundwater, and surface water. Sustainable use of water resources includes all activities relating to current and future use of water resources in terms of protection, conservation, and management. There are surface and underground water sources.",tensor(0.3546),tensor(0.4904),tensor(0.4115),Name five uses of groundwater.,tensor(0.6378),tensor(0.6161),tensor(0.6267)
"Explain the importance of tertiary activities in the economy, highlighting their role in supporting primary and secondary activities.","#### Tertiary activities:  
Tertiary activities belong to the service sector. These activities involve the provision of specialized services required for primary and secondary activities. Such activities include transport and communication, trading, administration, banking, and insurance.  
##### Transport and communication  
Transportation is the action or process of moving people, goods, and services from one place to another. This may be done by road, railway, air, pipeline, and water. Likewise, communication is the exchange of information between and among different people. Major means of communication include radio, television, newspapers, telephone, and the internet.  
##### Tourism",tensor(0.4389),tensor(0.5223),tensor(0.4748),"Write True or False for the following statement:  
Tertiary activities provide services whereas secondary activities are done for processing and manufacturing goods.",tensor(0.5206),tensor(0.5370),tensor(0.5287)
"The following are the strategies used in the post-harvest processing and transportation of cloves in detail:

1. Sorting: This involves separating leaves from the buds to ensure quality.

2. Drying: The buds and flowers are left to dry in the sun for 3-7 days to remove excess moisture.

3. Removal of dirty and unwanted particles: This is done to ensure quality and cleanliness of the dried cloves.

4. Grading: The dried cloves are graded according to their quality and size","#### Harvesting, processing and transportation of cloves:  
Clove trees can grow up to 15 meters high. Therefore, harvesting involves picking of flower buds which is done by climbing or scaling.
Harvesting is done by hand by skilled climbers. In Zanzibar, the harvesting occurs from September to November.
Sorting is necessary to separate leaves from the buds. The buds and flowers are left to dry in the sun for 3 - 7 days.
To ensure quality, the dirty and unwanted particles are removed from the dried cloves. The Zanzibar State Trading Corporation (ZSTC) is an organ responsible for buying and exporting cloves from the Isles in Tanzania to major importers such as Taiwan, India, the United Arab Emirates and the United Kingdom.",tensor(0.5384),tensor(0.5874),tensor(0.5605),"Write True or False for the following statement:  
Tertiary activities provide services whereas secondary activities are done for processing and manufacturing goods.",tensor(0.4908),tensor(0.4220),tensor(0.4538)
List two products developed from sisal fibre.,"#### Uses of sisal:  
Sisal is used to make ropes, buffing cloth, mattresses, carpets, handicraft mats, and baskets. Sisal is commonly used in the shipping industry for mooring small craft, lashing, and handling cargo. It is also used in the automobile industry with fiber glass in composite materials. Other products developed from sisal fibre include lumbar support belts, rugs, slippers, clothes and disc buffers. Farmers also use sisal fibre for tomato plant support and ropes for reinforcement of ceiling corners. Waste from sisal extraction can be used for making biogas, pharmaceutical ingredients and building materials. Fibres can also be used as fertiliser or animal feed.",tensor(0.3517),tensor(0.5405),tensor(0.4256),Differentiate between plantation agriculture and extensive cereal cultivation.,tensor(0.4617),tensor(0.4642),tensor(0.4628)
"Explain in detail the ideal growing conditions required for sisal, highlighting the suitable temperature, rainfall, and soil requirements.","#### Conditions for growing sisal:  
Sisal growing needs high temperatures ranging between 25°C and 30°C. It also needs slight rainfall ranging from 650 mm to 1,500 mm. It is grown in well-drained loamy soil. This type of soil contains a lot of decayed vegetable matter with little amounts of sand and clay. Rainfall plays an important role as far as fibre production is concerned. On the whole, sisal does not need too much rainfall and cannot tolerate frosty conditions.",tensor(0.4042),tensor(0.4926),tensor(0.4439),Mention four crops that are grown in plantations.,tensor(0.5638),tensor(0.4414),tensor(0.4951)
"Describe the process of evaporation, highlighting the factors that influence it.","### Evaporation  
Evaporation is the process by which water changes from liquid to gas or vapour. During evaporation, water moves into the atmosphere in the form of water vapour or moisture. Water bodies such as rivers, lakes, seas, and oceans contribute about 90% of the moisture found in the atmosphere through evaporation. Water changes into vapour under the great influence of temperature. Areas with high temperatures and low humidity experience a high rate of evaporation. Evaporation is also determined by humidity and wind.",tensor(0.4137),tensor(0.5436),tensor(0.4697),"What is evaporation?
(a) Water freezes
(b) Water vapour meets cold air and changes back into liquid
(c) Water gets warm and changes from liquid to water vapour
(d) Plants take in water from the soil",tensor(0.4369),tensor(0.5228),tensor(0.4759)
"Here is a true or false statement about challenges faced in Switzerland's tourism sector:

True or False: The fluctuation of tourist numbers due to competition from other countries is a challenge facing the tourism industry in Switzerland.","#### Challenges facing the tourism industry in Switzerland:  
Heavy snow during winter hinders movement on roads, rails and runways which lowers the influx of tourists.
In some cases, the number of tourists fluctuate due to oper competitive countries such as the United States of America.
Tourist attraction centers also experience environmental pollution prough littering and noise from transport means such as trains and cars.",tensor(0.4678),tensor(0.5446),tensor(0.5031),Briefly explain any five factors for the growth and development of tourism in Switzerland.,tensor(0.6518),tensor(0.5069),tensor(0.5689)
Define one obstacle that hinders power and energy production in developing countries.,"### Challenges facing power and energy production  
Power and energy production is facing many challenges. Some of these are described below.  
- Drought: Prolonged droughts decrease the volume of water, which in turn reduces the ability of hydro-electric power plants to produce electricity.
- Inadequate capital: The construction of dams and hydro-electric power stations requires heavy capital outlays. Capital is also essential in the production and transportation of natural gas. Unfortunately, many developing countries lack capital to harness fossil fuel and hydropower potentials.
- Transport and communication networks: These are inadequate in many developing countries, which hinders the extraction or transmission of energy and power.
- Poor technology and lack of skilled personnel: Some energy and power production systems such as nuclear, tidal, and geothermal energy require advanced technology, which is lacking in most developing countries.",tensor(0.4042),tensor(0.5286),tensor(0.4578),State five challenges facing solar and wind energy production in USA.,tensor(0.6743),tensor(0.6558),tensor(0.6648)
Define the drawbacks of commercial livestock farming.,"#### Disadvantages of commercial livestock-keeping:  
Despite the advantages, commercial livestock-keeping is costly in establishing, operation, and maintenance. Moreover, it uses many resources mainly human and physical in the production process. Furthermore, commercial livestock-keeping needs large sparsely populated areas. If animal wastes and discards are not properly treated, they can cause water, land, and air pollution, and diseases.",tensor(0.3843),tensor(0.5503),tensor(0.4519),Differentiate between traditional and commercial livestock-keeping.,tensor(0.5206),tensor(0.5603),tensor(0.5382)
True or False: Palm oil is used as a vegetable oil for cooking.,"#### Uses of palm oil:  
Palm oil is used as vegetable oil for cooking, and making soap and candles. Residue from planting processed kernels can be used as animal fodder and manure.",tensor(0.4309),tensor(0.5970),tensor(0.4992),"Write True or False for the following statement:  
Palm oil tree is a tropical plant that originated from South Africa.",tensor(0.5321),tensor(0.6207),tensor(0.5730)
"Explain the various ways in which tea is used, highlighting its importance as a beverage and its industrial applications.","#### Uses of tea:  
Tea is primarily used as a beverage. A person with a sore throat and a hoarse voice can get better after taking a few cups of strong tea.",tensor(0.4155),tensor(0.5277),tensor(0.4645),"Match each statement in Column A with the correct phrase in Column B:
| Column A | Column B |
| --------------------------------------------------------------------------------------------------------------------------- | -------------------------------- |
| 1. A type of agriculture involving growing of cash crops on large areas of land, mostly in tropical regions. | (i) Plantation agriculture |
| 2. Agriculture confined to the production of food crops for consumption by household members. | (f) Subsistence agriculture |
| 3. The system of keeping animals alongside cultivation. | (e) Mixed farming |
| 4. Another name for shifting cultivation. | (c) Slash and burn |
| 5. Beverage crops produced in plantations. | (g) Coffee and tea |
| 6. Labour is provided by the owner of the land and members of the family. | (h) Tea, cocoa and coffee |
| 7. A system of agriculture aimed at making profit through regular sale of farm products. | (b) Commercial livestock-keeping |
| 8. Countries practising the ranching system in the tropical savannah of Africa. | (l) Ranching |
| 9. It refers to the rearing of livestock with the main aim of producing meat, milk, wool and hides for commercial purposes. | (a) Tanzania, Ethiopia and Ghana |
| | (m) Tanzania, Kenya and Uganda |
| | (n) Coffee, maize and tea |",tensor(0.4103),tensor(0.4813),tensor(0.4297)
Does the Tanzanian government provide training opportunities to Tanzanians in oil and natural gas to address the shortage of skilled labour in the natural gas sector?,"#### Tanzania’s efforts in addressing the challenges of natural gas production  
Tanzania has been trying to overcome the challenges associated with the production of its natural gas. The government has been emphasising the use of revenue from natural gas to benefit the people in the areas producing the gas and the nation as a whole. The revenue from natural gas is used to improve social services in education and health. There have been various public programmes aimed to educate the public on natural gas benefits. The ministries responsible for energy and mineral resources in Tanzania conduct awareness creation programmes through various ways such as meetings and the media. The government also provides opportunities for training to Tanzanians in oil and natural gas. These training opportunities aim to build the country’s capacity for exploration, extraction, processing and supplying of natural gas.",tensor(0.4918),tensor(0.6173),tensor(0.5454),Outline the challenges facing natural gas extraction in Tanzania.,tensor(0.6043),tensor(0.5320),tensor(0.5658)
"Describe the importance of particle sizing in industries, including manufacturing and mining.","#### Sizing:  
Sizing is the separation of particles according to size. The method involves screening or passing the particles to be separated through a screen.",tensor(0.4280),tensor(0.5206),tensor(0.4693),Describe five types of processing industries in Tanzania and give two examples for each type.,tensor(0.5178),tensor(0.4884),tensor(0.5020)
What is the meaning of manufacturing industries?,"### The concept of manufacturing industry  
The manufacturing industry involves the processing and changing of raw materials into different semi-finished or finished products using tools and machines. It plays a major role in bringing about the development of a country. The ever-growing population with increased demands for goods and services is accommodated by the establishment of manufacturing industries. Such increased population demands more food, shelter, clothes and other services. The following section explains the importance of manufacturing industries in the world.",tensor(0.3639),tensor(0.5326),tensor(0.4304),"Define the following terms:
(a) Manufacturing industries
(b) Processing industries",tensor(0.4267),tensor(0.5074),tensor(0.4636)
"Explain the concept of primary economic activities, highlighting their characteristics and examples.","#### Primary activities:  
Primary activities are done by people when they interact directly with the natural environment to obtain their essential needs. These activities include agriculture, forestry, mining, and fishing.  
##### Agriculture:  
Agriculture is an activity which involves crop cultivation and livestock-keeping. It is the oldest human activity which has been practised by all societies in the world. It provides food for households and raw materials for industries. The type of agriculture practised in a given place is determined by various conditions of the area including climate, water availability, soil characteristics and terrain. It is also influenced by financial resources, infrastructure, technology and conditions of the market.",tensor(0.4084),tensor(0.5124),tensor(0.4533),"Write True or False for the following statement:  
Secondary activities are carried out without depending on primary and tertiary activities.",tensor(0.4959),tensor(0.5187),tensor(0.5070)
"Explain in detail how the mining sector contributes to the economy of Tanzania, highlighting its importance in generating government revenue, providing employment opportunities, and stimulating infrastructure development and growth of towns.","### Contribution of the mining industry to the economy of Tanzania:  
Minerals are useful in the growth of any country’s economy. Some minerals have more demand than others due to their high value. Minerals are used in countries where they are produced and also they are exported to various countries to obtain foreign currency. The contribution of mining industries to the Tanzanian economy include the following:  
- Government revenue: The mining industry contributes to government revenue in terms of taxes and royalties. This is crucial for financing developmental plans of the country.
- Employment: The mining industry contributes direct and indirect employment opportunities within the country. Some people get employed directly in the industry while others provide services related to mining in mining centers.",tensor(0.4733),tensor(0.5874),tensor(0.5239),Explain the importance of mining to the economy of Tanzania.,tensor(0.7152),tensor(0.5025),tensor(0.5902)
"Here is a true or false statement about the Rufiji Basin:

True or False: The Rufiji River originates from the north-eastern highlands of Tanzania.

Let me know if you'd like me to generate another question!","#### Rufiji Basin in Tanzania  
The Rufiji river basin is managed by the Rufiji Basin Water Board (RBWB) under the Ministry of Water. It is one of the largest river basins in Africa, and covers an area of about 177,420 km2. This basin occupies 20 percent of the country. It occupies parts of Iringa, Njombe, Mbeya, Ruvuma, Morogoro, Dodoma and Pwani Regions (Figure 3.8).The basin contains the Rufiji River which is the largest river in Tanzania. It originates from the south-western highlands. It has four main tributaries, namely, the Great Ruaha, Kilombero, Luwegu and the Rufiji lower section. These four tributaries join to form the Rufiji River.",tensor(0.4347),tensor(0.4653),tensor(0.4491),"With reference to Rufiji Water Basin and TVA, explain how a community can benefit from the river basin.",tensor(0.5377),tensor(0.4257),tensor(0.4746)
What are the two main means of transporting timber and logs in Tanzania?,"### Transportation of timber  
In many parts of the world, logs are transported using different means. In Tanzania, timber and logs are transported mainly by road using large trucks and by railway. For example, the central railway and the Tanzania-Zambia Railway are used to transport logs. Some logs are transported by trucks to harbours like Dar es Salaam, Tanga, Mtwara, and Mwanza for exportation. In other parts of the world, logs are transported by water to ports or industrial centers.  
| Countries                    | Cubic Meters |
| ---------------------------- | ------------ |
| USA                          | 481,092,992  |
| India                        | 296,234,016  |
| China                        | 284,910,024  |
| Brazil                       | 236,422,218  |
| Canada                       | 176,692,000  |
| Russia                       | 162,300,000  |
| Indonesia                    | 119,208,572  |
| Ethiopia                     | 91,283,543   |",tensor(0.3986),tensor(0.5466),tensor(0.4556),Explain what you understand by the term ‘transport’.,tensor(0.4203),tensor(0.4313),tensor(0.4250)
True or False: Commercial livestock-keeping involves rearing of animals on a small area of land with high population density.,"### Commercial livestock-keeping  
Commercial livestock-keeping involves rearing of animals for the purpose of selling their products such as meat, milk, wool and hides. Ranching, as part of commercial livestock-keeping, is mostly practised in more remote areas where land is extensive and population density is low. Extensive land provides sufficient grass to support a large number of animals. Commercial livestock-keeping is determined by factors such as capital, level of technology, market, availability of pasture and climatic conditions. In temperate regions, supplementary food such as hay and root crops are used to feed them during winter. Animals are kept for meat (beef cattle), for milk (dairy cattle and camel) and for wool (sheep).",tensor(0.4782),tensor(0.6185),tensor(0.5389),Differentiate between traditional and commercial livestock-keeping.,tensor(0.5555),tensor(0.4865),tensor(0.5163)
Describe the importance of livestock-keeping in Tanzania's economy.,"Livestock-keeping in Tanzania, on the contrary, is mainly for meeting domestic demands with some few animals and animal products being exported, but on a lower scale than in Australia. In Tanzania, sheep and goats are kept for meat and skins. Moreover, the application of science and technology in livestock-keeping is much more advanced in Australia than it is in Tanzania. The main rearing system of livestock-keeping in Tanzania is pastoralism and zero-grazing, whereas in Australia it is primarily the ranching system. In addition, Australia has many industries for processing animal products, whereas in Tanzania efforts are underway to establish such industries on a commercial scale.",tensor(0.4223),tensor(0.6077),tensor(0.4981),Outline main challenges facing livestock keeping in Tanzania.,tensor(0.7345),tensor(0.6876),tensor(0.7099)
"Describe the main differences in livestock farming between Tanzania and Australia, highlighting the purpose, breeds, and systems of livestock-keeping in each country.","Livestock-keeping in Tanzania, on the contrary, is mainly for meeting domestic demands with some few animals and animal products being exported, but on a lower scale than in Australia. In Tanzania, sheep and goats are kept for meat and skins. Moreover, the application of science and technology in livestock-keeping is much more advanced in Australia than it is in Tanzania. The main rearing system of livestock-keeping in Tanzania is pastoralism and zero-grazing, whereas in Australia it is primarily the ranching system. In addition, Australia has many industries for processing animal products, whereas in Tanzania efforts are underway to establish such industries on a commercial scale.",tensor(0.4813),tensor(0.5888),tensor(0.5294),Suggest ways of solving challenges facing livestock-keeping in Tanzania.,tensor(0.6416),tensor(0.5260),tensor(0.5778)
"Define the value of forest resources in terms of their economic, ecological, and social importance.","Human beings obtain various products and services from forests. Forest products can be timber and non-timber products that help to sustain human life. Non-timber forest products include fruits, honey, leaves, roots and barks. The process of managing forest resources for human use is known as forestry. Foresters engage in lumbering, which is an activity that involves cutting, transporting, processing and selling timber. The terms ‘timber’ and ‘log’ are used interchangeably to mean branches or pieces of the trunk of a tree, but with the bark attached. Harvesting of forest resources is generally sustainable when there is no or little damage to the general environment. A forest can be natural or planted. Animals, birds and insects use forests to support their lives. Forests provide aesthetic value and services to human beings.",tensor(0.4260),tensor(0.5690),tensor(0.4867),"With examples, mention problems facing forests resource harvesting.",tensor(0.5422),tensor(0.4739),tensor(0.5046)
"Explain the significance of solar and wind energy in the USA, highlighting their environmental benefits, creation of employment opportunities, and role in industrial development and agriculture.","#### Importance of solar and wind energy in USA:  
USA finds it more economical to use solar and wind energy than other sources of energy as they have minimal environmental effects. Solar and wind energy in USA is important in so many ways.  
Environmentally-friendly: The production of solar and wind energy involves activities which produce less waste in the environment compared to other sources of energy. These energies, therefore, are considered to be environmentally-friendly. For example, their production reduces the emission of carbon-dioxide and other pollutants.  
Creation of employment opportunities: Installation and management of solar panels and wind mills require many employees. This industry generates jobs for thousands of people.",tensor(0.4805),tensor(0.5895),tensor(0.5291),"Write True or False for the following statement:  
The major source of power and energy in the USA is the Sun.",tensor(0.5769),tensor(0.4842),tensor(0.5240)
What is the effect of rapid population growth on the availability of land and resources for small-scale farmers?,"#### Relationship between population growth and small-scale crop production:  
Population growth is an increase in the number of people in a particular area. Rapid population growth could be due to natural increase or in-migration. The rapid population growth puts more pressure on small-scale farmers. Yet, subsistence farmers are not likely to raise their output to feed the growing numbers because of lack of capital. Subsequently, land becomes overpopulated and resources overused. Also high population growth is associated with smaller farms and lower farm wages. As a result households in densely populated areas increasingly rely on off-farm income.",tensor(0.4654),tensor(0.6206),tensor(0.5314),Mention the effects of rapid population growth on small-scale crop cultivation.,tensor(0.6758),tensor(0.5869),tensor(0.6282)
Define post-harvest processing of cloves.,"#### Harvesting, processing and transportation of cloves:  
Clove trees can grow up to 15 meters high. Therefore, harvesting involves picking of flower buds which is done by climbing or scaling.
Harvesting is done by hand by skilled climbers. In Zanzibar, the harvesting occurs from September to November.
Sorting is necessary to separate leaves from the buds. The buds and flowers are left to dry in the sun for 3 - 7 days.
To ensure quality, the dirty and unwanted particles are removed from the dried cloves. The Zanzibar State Trading Corporation (ZSTC) is an organ responsible for buying and exporting cloves from the Isles in Tanzania to major importers such as Taiwan, India, the United Arab Emirates and the United Kingdom.",tensor(0.3683),tensor(0.5399),tensor(0.4366),Describe any three factors affecting the location of industries.,tensor(0.4419),tensor(0.4806),tensor(0.4596)
What is one of the challenges of large-scale agriculture in the USA due to the high cost of production?,"### Challenges facing large-scale agriculture in USA:  
There are several challenges facing large-scale agriculture in the USA. Some of them are high cost of production as agriculture in the USA is highly mechanised. Automatic irrigation and agricultural machinery require fossil fuels and other sources of energy to run them. The increase in the price of fossil fuel, therefore, increases the cost of production. At times, there is a shortage of water as irrigation requires a lot of water. The amount of underground water drawn for irrigation is increasing whereas the amount of water to refill is decreasing; which results in shortage of water for agricultural use. Another problem has to do with loss of soil fertility as the soil is eroded faster than it can be replenished due to over- cultivation. Also, over-irrigation causes leaching of soil nutrients.",tensor(0.4306),tensor(0.5702),tensor(0.4902),Mention five major challenges facing large-scale agriculture in the USA.,tensor(0.7502),tensor(0.6277),tensor(0.6834)
Define mineral separation as the process of separating valuable minerals from other materials using methods such as magnetic separation.,"#### Separation:  
Minerals that are magnetic such as magnetite can be separated from non-magnetic particles using strong magnets because the minerals are attracted to the magnet (ferromagnetic).",tensor(0.4847),tensor(0.6250),tensor(0.5445),Briefly explain types of minerals basing on their location.,tensor(0.5041),tensor(0.4771),tensor(0.4902)
True or False: South Korea's electronic equipment industry is hindered by a lack of skilled labor.,"### Electronic equipment industry in South Korea  
South Korea is located in Eastern Asia south of the Korean Peninsula. It occupies the southern half of the peninsula. It has an area of about 98,000 square kilometers. The population of South Korea was about 51.5 million people in 2017. It is one of the highly industrialized countries of the world in electronic manufacturing. Its economy is growing very fast due to foreign investments in many electronic equipment such as televisions, radios, calculators, watches, magnetic discs for computers, computer software, cell phones, computer terminals, and radar.  
The major electronic production centers include Busan, Daegu, Gwangju, Jeju and Seoul (Figure 7.2). Daegu alone has more than 150 electronic factories. The major electronic manufacturing companies in South Korea are Samsung, LG electronics, Daewoo and Hyundai. Other competitors in the electronic manufacturing industry include Hong Kong, Singapore, Malaysia and Taiwan.",tensor(0.4346),tensor(0.5742),tensor(0.4945),Mention any five factors contributing to the development of electronic equipment industries in South Korea.,tensor(0.6114),tensor(0.5085),tensor(0.5537)
Explain the importance of hydroelectric power and biogas in Tanzania.,"### Importance of HEP and biogas energy resources in Tanzania  
Tanzania’s major electrical energy is obtained primarily from HEP followed by natural gas. These energy sources are important to the economy of the country. HEP and biogas energy are important in many ways.  
Use at the local level: Production of biogas requires simple technology, which can be handled by any interested person. Based on technological simplicity, biogas is prominent at local levels in Tanzania.  
Waste management: Use of biogas enhances management of wastes mainly animal dung. All animal dung around people’s homes is collected and ferried to the processing area to produce power. People with many livestock find biogas production as an effective way of keeping their areas clean.",tensor(0.4328),tensor(0.6455),tensor(0.5178),Explain how challenges facing power and energy production in Tanzania can be addressed.,tensor(0.6323),tensor(0.6692),tensor(0.6502)
What are the effects of heavy snow on tourism in Switzerland during winter?,"#### Challenges facing the tourism industry in Switzerland:  
Heavy snow during winter hinders movement on roads, rails and runways which lowers the influx of tourists.
In some cases, the number of tourists fluctuate due to oper competitive countries such as the United States of America.
Tourist attraction centers also experience environmental pollution prough littering and noise from transport means such as trains and cars.",tensor(0.3720),tensor(0.5336),tensor(0.4378),Briefly explain any five factors for the growth and development of tourism in Switzerland.,tensor(0.5524),tensor(0.5576),tensor(0.5550)
List two economic benefits that water resources provide to local communities.,"Water resource management refers to the process of planning, developing, distributing and managing the effective use of water resources. In today’s interconnected world, there is no doubt about the value of integrated planning for sustainable development. There is a need to have an integrated water resources management that supports the economic, social and environmental dimensions of sustainable development. Integrated Water Resources Management is one of the initiatives for sustainable use of water resources, and it refers to a process of promoting the coordinated development and management of water, land and related resources, in order to maximise the resultant economic and social welfare in an equitable manner without compromising the sustainability of vital ecosystems. The management helps to protect the environment, foster economic growth and sustainable agricultural development, promote democratic participation in governance, and improve human health.",tensor(0.3972),tensor(0.5497),tensor(0.4607),"With reference to Rufiji Water Basin and TVA, explain how a community can benefit from the river basin.",tensor(0.5216),tensor(0.5738),tensor(0.5460)
"Explain the economic impact of petroleum production on the Middle Eastern countries, highlighting its significance in their economic and social development.","#### Importance of oil production to Middle East countries:  
The Middle East is located in an arid region. Oil production has contributed to economic and social development of the Middle East countries. The countries depend greatly on the exportation of petroleum and petroleum products to earn foreign currency. Companies involved in oil production in most of the Middle East countries are mostly state-owned. However, there are also some oil fields run by private companies. These companies pay taxes to the government. The revenue from oil refining and support industries is used to provide social services such as education and health. The revenue is also used in the construction and improvement of infrastructure such as roads, railways, and airports. Jobs are also created in areas that produce oil as many people in the Middle East work in the petroleum refineries and petrochemical industries.",tensor(0.4824),tensor(0.5836),tensor(0.5271),"Write True or False for the following statement:  
Middle East countries produce over one-third of the world’s petroleum.",tensor(0.6638),tensor(0.5886),tensor(0.6218)
"What are the key cultivation techniques used in sisal farming, and how do they contribute to the successful growth and production of sisal in Tanzania?","### Sisal  
Sisal is a tropical plant whose leaves produce strong threads (fibres) which are used for various purposes such as rope and carpet making. Sisal was originally grown in southern Mexico. Subsequently, it has been widely cultivated in many other countries. In fact, it has widely been introduced in the tropics and subtropics. In Tanzania, sisal was introduced in 1893 by Dr Richard Hindorf and the first 62 sisal plants were planted near Pangani in Tanga Region. Until the 1960s, Tanzania was the leading producer of sisal, but since then Brazil has become the major world producer of sisal, followed by Tanzania, Kenya, Madagascar and China. In Tanzania, sisal is grown in Tanga, Kilimanjaro, Arusha, Morogoro, Lindi and Mtwara regions.  
Figure 2.7 Sisal farm in Tanga  
Source: https://www.ippmedia.com/en/news/strategising-restore-sisal-cash-crop-day",tensor(0.4086),tensor(0.5069),tensor(0.4522),Differentiate between plantation agriculture and extensive cereal cultivation.,tensor(0.5345),tensor(0.4338),tensor(0.4789)
"Here is a true/false statement about traits of deciduous forests for your class discussion:

""True or False: Deciduous forests are composed mainly of needle-like leaves.""

Let me know if you need more!","#### Characteristics of a deciduous forest  
Deciduous forests have characteristics that distinguish them from other types of forests. They contain trees with broad leaves. Trees in these forests usually shed their leaves in autumn and they remain leafless throughout the cold winters to minimize loss of water by transpiration. Deciduous forests are composed of a mixture of various tree species. Deciduous forest trees include oak, elm, chestnut, maple, willow, ash, and beech.",tensor(0.4399),tensor(0.4473),tensor(0.4421),"Write True or False for the following statement:  
A natural forest refers to a collection of trees pat have naturally grown.",tensor(0.5370),tensor(0.5054),tensor(0.5207)
"Here is a true or false statement about water sources for your students:

True or False: Wells are a type of surface water source.","### Sources of water  
There are several sources of water. These include rainfall, wells, springs, ponds, rivers, lakes, seas and oceans. There are various ways used to manage water resources. These are policies, laws, regulations, and awareness raising campaigns.",tensor(0.4198),tensor(0.4541),tensor(0.4359),Name five uses of groundwater.,tensor(0.5306),tensor(0.4214),tensor(0.4689)
"Here is a true or false statement for your Form 2 students:

Integrated Water Resources Management promotes unsustainable use of water resources. (FALSE)","Water resource management refers to the process of planning, developing, distributing and managing the effective use of water resources. In today’s interconnected world, there is no doubt about the value of integrated planning for sustainable development. There is a need to have an integrated water resources management that supports the economic, social and environmental dimensions of sustainable development. Integrated Water Resources Management is one of the initiatives for sustainable use of water resources, and it refers to a process of promoting the coordinated development and management of water, land and related resources, in order to maximise the resultant economic and social welfare in an equitable manner without compromising the sustainability of vital ecosystems. The management helps to protect the environment, foster economic growth and sustainable agricultural development, promote democratic participation in governance, and improve human health.",tensor(0.4458),tensor(0.4967),tensor(0.4689),What are the common domestic practices for water conservation in your community?,tensor(0.4678),tensor(0.4020),tensor(0.4324)
"Define the term ""forest"" in the context of geography.","### The concept of forest  
A forest is an extensive area of land mostly covered by trees of different sizes, species and other forms of undergrowth. By 2015, it was estimated that forests covered about 31% of the earth’s surface. Forest distribution on the earth’s surface varies. Such variation is caused by the amount of rainfall available and the length of wet and warm seasons per year. Forests can be absent in some areas even where the climatic conditions allow tree growth. Absence of forests in extensive areas can be caused by actions of human beings and wild animals.",tensor(0.3732),tensor(0.4672),tensor(0.4144),"Write True or False for the following statement:  
A natural forest refers to a collection of trees pat have naturally grown.",tensor(0.4818),tensor(0.4966),tensor(0.4874)
