Generated Query,First Document,Mean Content Precision,Mean Content Recall,Mean Content F1,First Exercise,Mean Exercise Precision,Mean Exercise Recall,Mean Exercise F1
True or False: Using solar energy and hydro-electric power as alternative sources can help in reducing industrial pollution.,"### Major ways of reducing industrial pollution  
There are several ways of reducing pollution from industries. These ways include the following.  
- (a) Locating industries away from residential areas. There should be a proper policy on locating industries.
- (b) Laws and by-laws should be enacted to protect the environment against pollution.
- (c) Encouraging the use of alternative sources of energy which are environmental friendly, for example, the use of solar energy and hydro-electric power.
- (d) Complete combustion of fuels in industrial machines should be ensured as it reduces air pollution.
- (e) Liquid waste from industries should be treated before it is discharged as waste, to reduce the effects on the environment.
- (f) Industrial waste can be reduced through re-use and recycling of plastic materials, bottles and cans to produce other materials.
- (g) Routine inspection and maintenance of industrial machines should be carried out on a regular basis.",tensor(0.4743),tensor(0.5468),tensor(0.5055),Outline five ways of reducing industrial pollution.,tensor(0.6522),tensor(0.4425),tensor(0.5261)
Identify two states in the USA that are leading in wind energy production.,"Solar energy is harnessed on a large- scale in the states of California, Nevada, Arizona, North Carolina, New Jersey and Massachusetts. These areas are more conducive for harnessing solar power because of the sunny climate, clear skies and plenty of land. The electricity generated is integrated into the US National Grid.  
Wind energy is also used more in USA compared to solar energy. The country has a big potential of onshore and offshore winds. Wind energy is used in running large farms and industries. The leading wind energy producing centers are California, Oklahoma, Illinois, and Kansas. Wind power generation and use in USA is expanding quickly. It experiences an annual growth of 25.6 percent. For example, in 2017, wind power generated 6.3 percent of electricity in the USA.",tensor(0.4082),tensor(0.5598),tensor(0.4720),State five challenges facing solar and wind energy production in USA.,tensor(0.6596),tensor(0.6308),tensor(0.6448)
True or False: Namibia's tourism industry faces high competition for tourists from neighboring countries like Botswana and South Africa.,"Furthermore, Namibia has a restrictive regime for business visas and work permits which lowers business in the tourism industry. As a result, skilled people from abroad who could serve the industry efficiently cannot easily get work permits. Other challenges facing tourism in Namibia include the growing rate of crime, corruption, poaching, poor water crisis management and high commodity prices.",tensor(0.4745),tensor(0.5912),tensor(0.5254),List any three lessons that Tanzania can learn from the tourism industry in Switzerland and Namibia.,tensor(0.5666),tensor(0.5068),tensor(0.5337)
"Explain in detail the entire process of petroleum extraction in the Middle East, including the operations involved in extraction, the role of state-owned and private companies, and how the produced petroleum and its products benefit the transport sector and overall economic development of the region.","Oil production in the Middle East has stimulated the improvement of the transport sector. The export of petroleum and petroleum products has enabled Middle East countries to develop good transport networks. In addition, petroleum is a resource which provides energy and power for domestic and industrial purposes.",tensor(0.5466),tensor(0.5565),tensor(0.5492),Explain the challenges facing oil production in the Middle East.,tensor(0.6300),tensor(0.4914),tensor(0.5495)
Discuss the benefits of small-scale crop cultivation (subsistence farming) for families in Tanzania and how it contributes to their well-being and economic stability.,"#### Small-scale crop cultivation:  
Small-scale crop cultivation is the growing of crops on a small piece of land. It is also called subsistence farming. It aims to produce enough food for the wellbeing of families. In some instances, when the production is high, the surplus is sold. Individuals engaging in small-scale crop cultivation are known as peasants. They are also called subsistence farmers as they grow food crops to feed themselves and their families with little or no surplus for sale.  
As noted earlier, the agricultural system at subsistence level falls under this category. A farmer owns a small piece of land for food crops cultivation. The produce is enough only for the family. It is hand to mouth existence which may lead to famine if the harvest is bad. In years with good harvest the farmer may have surplus to sell to the local markets. The farms are small, about one to five hectares owned by the family. Application of machines is difficult as farms are small.",tensor(0.4655),tensor(0.5387),tensor(0.4983),"Traditional livestock farming is practised in areas where there is:
(a) Very low rainfall
(b) Heavy rainfall
(c) No rainfall
(d) Dry lands",tensor(0.3706),tensor(0.4874),tensor(0.4158)
What is the ranking of the tourism sector in Namibia's economy?,"#### Improving the tourist environment:  
Namibia has several advantages compared to its competitors in the region. It has attractive and unique tourism attractions such as the landscape, wildlife and indigenous culture. It is also a peaceful country. It has also a safe and extensive road network and sufficient lodging options. There are also abundant opportunities for adventure tourism which includes hiking, sky-diving, dune boarding, and game and trophy hunting. Adventure travel is one of the fastest growing sectors of the long-haul travel market.",tensor(0.3949),tensor(0.5567),tensor(0.4614),"Explain how tourism is important in Tanzania, Namibia, and Switzerland.",tensor(0.5222),tensor(0.5629),tensor(0.5417)
True or false: Tourism is the major industry in Switzerland and is the third largest export earner.,"#### Importance of tourism in Switzerland:  
Tourism contributes to the economic development of Switzerland.
Tourism promotes Switzerland’s international relations and co-operation with other nations through tourist activities.
Tourism also stimulates other related sectors of the economy such as agriculture, market, and transportation since they all strive to help the provision of services in the tourism sector.
Moreover, tourism is the major industry in Switzerland. It is the third largest export earner and contributes significantly to the national economy.
Tourism promotes employment opportunities both within and outside the industry, therefore, it helps to improve people’s living standards.
Tourism promotes the spirit of appreciating other people’s cultures which, in turn, brings about cultural tolerance.
Furthermore, tourism contributes to the expansion of infrastructure throughout the country.",tensor(0.4146),tensor(0.5478),tensor(0.4693),Briefly explain any five factors for the growth and development of tourism in Switzerland.,tensor(0.5194),tensor(0.4810),tensor(0.4994)
Identify two uses of the residue from processed palm oil kernels.,"#### Uses of palm oil:  
Palm oil is used as vegetable oil for cooking, and making soap and candles. Residue from planting processed kernels can be used as animal fodder and manure.",tensor(0.3904),tensor(0.5320),tensor(0.4489),"Write True or False for the following statement:  
Palm oil tree is a tropical plant that originated from South Africa.",tensor(0.3274),tensor(0.5069),tensor(0.3868)
True or False: The Tanzanian government does not allocate revenue from natural gas production to improve social services such as education and health.,"#### Tanzania’s efforts in addressing the challenges of natural gas production  
Tanzania has been trying to overcome the challenges associated with the production of its natural gas. The government has been emphasising the use of revenue from natural gas to benefit the people in the areas producing the gas and the nation as a whole. The revenue from natural gas is used to improve social services in education and health. There have been various public programmes aimed to educate the public on natural gas benefits. The ministries responsible for energy and mineral resources in Tanzania conduct awareness creation programmes through various ways such as meetings and the media. The government also provides opportunities for training to Tanzanians in oil and natural gas. These training opportunities aim to build the country’s capacity for exploration, extraction, processing and supplying of natural gas.",tensor(0.4909),tensor(0.5525),tensor(0.5159),"Write True or False for the following statement:  
Exploitation of natural gases in Tanzania is only done by public companies.",tensor(0.5921),tensor(0.4861),tensor(0.5314)
"Describe the process and significance of the oil and gas extraction industry in Tanzania, highlighting its main products and their uses.","#### Mining industry  
Mining is the branch of manufacturing industries and trade based on the extraction of ores, fossil fuels, minerals, stone, clay, gravel, and similar commodities. This does not include the refinement of these commodities. The mining industry contains five categories, which are defined by the resources they produce: oil and gas extraction, coal mining, metal ore mining, non-metallic mineral mining and quarrying, and support activities for mining.",tensor(0.4314),tensor(0.5164),tensor(0.4697),"Define the following terms:
(a) Manufacturing industries
(b) Processing industries",tensor(0.5775),tensor(0.4898),tensor(0.5283)
Define the importance of solar and wind energy in the USA.,"#### Importance of solar and wind energy in USA:  
USA finds it more economical to use solar and wind energy than other sources of energy as they have minimal environmental effects. Solar and wind energy in USA is important in so many ways.  
Environmentally-friendly: The production of solar and wind energy involves activities which produce less waste in the environment compared to other sources of energy. These energies, therefore, are considered to be environmentally-friendly. For example, their production reduces the emission of carbon-dioxide and other pollutants.  
Creation of employment opportunities: Installation and management of solar panels and wind mills require many employees. This industry generates jobs for thousands of people.",tensor(0.4310),tensor(0.6139),tensor(0.5058),State five challenges facing solar and wind energy production in USA.,tensor(0.6312),tensor(0.6948),tensor(0.6595)
True or False: Natural gas production in Tanzania is both well-established and has a sufficient supply of skilled labor.,"#### Challenges of natural gas production in Tanzania:  
Natural gas production faces numerous challenges in different aspects. Natural gas is a non-renewable resource. Therefore, care has to be when extracting this resource. Natural gas production is new in Tanzania and, thus, it faces a shortage of skilled labour, especially in exploration and extraction activities. As a result, the government is often forced to employ foreign experts who are paid high salaries. Regarding the capacity to produce the natural gas, Tanzania has not been able to allocate enough funds for exploration, extraction, processing and distribution.",tensor(0.4783),tensor(0.5426),tensor(0.5039),"Write True or False for the following statement:  
In Tanzania natural gas energy is mostly used for domestic heating and cooking.",tensor(0.6168),tensor(0.5291),tensor(0.5652)
"Describe the ideal conditions necessary for growing sisal, including temperature, rainfall, and soil requirements.","#### Conditions for growing sisal:  
Sisal growing needs high temperatures ranging between 25°C and 30°C. It also needs slight rainfall ranging from 650 mm to 1,500 mm. It is grown in well-drained loamy soil. This type of soil contains a lot of decayed vegetable matter with little amounts of sand and clay. Rainfall plays an important role as far as fibre production is concerned. On the whole, sisal does not need too much rainfall and cannot tolerate frosty conditions.",tensor(0.4116),tensor(0.5272),tensor(0.4617),Mention four crops that are grown in plantations.,tensor(0.5481),tensor(0.4286),tensor(0.4810)
Define post-harvest processing and transport of cloves as described in the textbook.,"#### Harvesting, processing and transportation of cloves:  
Clove trees can grow up to 15 meters high. Therefore, harvesting involves picking of flower buds which is done by climbing or scaling.
Harvesting is done by hand by skilled climbers. In Zanzibar, the harvesting occurs from September to November.
Sorting is necessary to separate leaves from the buds. The buds and flowers are left to dry in the sun for 3 - 7 days.
To ensure quality, the dirty and unwanted particles are removed from the dried cloves. The Zanzibar State Trading Corporation (ZSTC) is an organ responsible for buying and exporting cloves from the Isles in Tanzania to major importers such as Taiwan, India, the United Arab Emirates and the United Kingdom.",tensor(0.3867),tensor(0.5141),tensor(0.4406),"Define the following terms:
(a) Manufacturing industries
(b) Processing industries",tensor(0.4083),tensor(0.4405),tensor(0.4238)
"Explain how human activities contribute to social, economic, and political development, using specific examples from the mining sector and service industries in Tanzania.","## Chapter One (Human Activities)  
### Introduction  
Human activities refer to things that people do or cause to happen. Human beings do such activities for social, economic, and political purposes. In this chapter, you will learn about human activities, types of human activities, and the importance of such activities.",tensor(0.4684),tensor(0.5176),tensor(0.4911),"Write True or False for the following statement:  
Types of human activities are related to the types of human settlements.",tensor(0.5411),tensor(0.4611),tensor(0.4977)
"Explain how evaporation from ocean water contributes to the water cycle and its significance for ecosystems, using Figure 3.2 as a reference.","### The concept of water management  
Water is a colourless liquid found naturally on the land surface, atmosphere, and underground reservoirs. Water can exist in liquid, solid, or gas state. Although water is a familiar substance, it is also a unique material of the earth. For a long time, water has been considered to be an abundant resource which is found freely to all people. Today, most countries are facing increasing pressure on water resources and growing competition between differing interests. Chronic water scarcity is perceived to be one of the threats to global prosperity and stability. Other threats include hydrological uncertainty and extreme weather disasters such as floods and droughts.",tensor(0.4244),tensor(0.4827),tensor(0.4514),Mention any five major ocean routes in the world.,tensor(0.5050),tensor(0.4107),tensor(0.4529)
"Discuss the roles and responsibilities of the Tanzania National Parks Authority (TANAPA), Tanzania Wildlife Authority (TAWA), and Ngorongoro Conservation Area Authority (NCAA) in the management of wildlife reserves in Tanzania. How do their efforts contribute to both conservation and tourism?","#### Management of national parks and game reserves in Tanzania:  
National parks in Tanzania are managed by the Tanzania National Parks Authority (TANAPA). This authority is responsible for the management and regulation of the use of all areas designated as national parks. The Tanzania Wildlife Authority (TAWA) is responsible for the management and regulation of the use of all the areas designated as game reserves and all wildlife outside national parks and the Ngorongoro Conservation Area (NCA). The NCA is managed by the Ngorongoro Conservation Area Authority (NCAA). This is the only conservation area in Tanzania where humans, livestock and wildlife share the same environment (multiple use area).",tensor(0.5071),tensor(0.5675),tensor(0.5355),Outline main challenges facing livestock keeping in Tanzania.,tensor(0.5992),tensor(0.4065),tensor(0.4837)
"Discuss in detail the disadvantages of nomadic pastoralism as mentioned in your textbook, particularly focusing on its impact on the environment, animal health, and the socio-economic consequences for the pastoralists and their families. What solutions might mitigate these issues while still preserving the traditional practice of nomadic pastoralism?","Nomadic pastoralism involves continual movement of pastoralists with large numbers of animals from place to place in search of pasture and water. People involved in this practice are called nomads or pastoralists. Tribes which practise nomadic pastoralism include the Maasai, Barbaig, Kwavi, and Karamajong. Nomadic pastoralism is mostly practised in sparsely populated areas where the natural vegetation is mainly grass and bushes and, sometimes, scattered trees. In these areas, rainfall is very low and unreliable. The pastoralists follow specific routes in their movements. Figure 2.10 shows a large herd of cattle. The animals kept by pastoralists are a source of food and income through the selling of animals and their products. Major products from animals are meat and milk. The pastoralists spend the money they earn to meet family needs such as buying cereals, paying school fees, and meeting health expenses. In addition, the cattle raised are used for paying bride price and giving gifts",tensor(0.4773),tensor(0.5372),tensor(0.5054),Explain what nomadic pastoralism means.,tensor(0.5689),tensor(0.4327),tensor(0.4885)
"Explain the economic value of water in relation to its uses in hydro-electric power generation, manufacturing industries, tourism, and domestic activities, highlighting how each of these uses contributes to economic growth and prosperity.","### Economic importance of water  
Water is a source of life for almost all living organisms including animals and plants. Numerous economic activities are conducted in water while others use water as part of raw material.  
Human beings are primary users of water and integrate it in their economic activities in various ways. Their ability to plan and conduct economic activities is basically supported by water. Water is used as an important ingredient in sustaining life, especially for cooking, drinking and maintaining cleanliness. Generally, water is essential for economic development. It is used in the manufacturing industry, hydro-electric power generation, and navigation as well as domestic activities and trade.",tensor(0.5281),tensor(0.5913),tensor(0.5575),"With reference to Rufiji Water Basin and TVA, explain how a community can benefit from the river basin.",tensor(0.5390),tensor(0.4670),tensor(0.5000)
"Explain the advantages of different livestock-keeping methods, including commercial livestock-keeping, nomadic pastoralism, and sedentary livestock-keeping, and discuss how each contributes to the economy and society.","#### Advantages of commercial livestock-keeping:  
Commercial livestock-keeping acts as a source of raw materials for industries such as food processing, shoe, and cloth making. It is one of the sectors which employs people and serves as a source of government revenue. Commercial livestock-keeping provides food products such as meat and milk consumed by households and industries. Moreover, it contributes to the production of goods such as shoes, bags, and animal foods. The benefits of commercial livestock-keeping include the ability to utilize breeds that can enhance reproductive performance. This practice also stimulates the development of transport and communication. Commercial livestock-keeping also facilitates the control of diseases and pests because it limits animal movement. It also uses high technology and scientific methods in management.",tensor(0.5023),tensor(0.5896),tensor(0.5423),Describe the primary purposes for keeping cattle.,tensor(0.5187),tensor(0.4428),tensor(0.4741)
List the three major categories of human activities as described in the textbook.,"### Types of human activities  
There are three major categories of human activities. These are primary, secondary, and tertiary activities.",tensor(0.4345),tensor(0.5175),tensor(0.4715),"Write True or False for the following statement:  
Types of human activities are related to the types of human settlements.",tensor(0.5477),tensor(0.5561),tensor(0.5518)
Describe the various benefits of commercial livestock-keeping as mentioned in the textbook.,"#### Advantages of commercial livestock-keeping:  
Commercial livestock-keeping acts as a source of raw materials for industries such as food processing, shoe, and cloth making. It is one of the sectors which employs people and serves as a source of government revenue. Commercial livestock-keeping provides food products such as meat and milk consumed by households and industries. Moreover, it contributes to the production of goods such as shoes, bags, and animal foods. The benefits of commercial livestock-keeping include the ability to utilize breeds that can enhance reproductive performance. This practice also stimulates the development of transport and communication. Commercial livestock-keeping also facilitates the control of diseases and pests because it limits animal movement. It also uses high technology and scientific methods in management.",tensor(0.4383),tensor(0.5529),tensor(0.4888),Differentiate between traditional and commercial livestock-keeping.,tensor(0.6108),tensor(0.5459),tensor(0.5740)
True or False: The drying process of tea through roasting is done at temperatures around 105°C to stop fermentation and reduce moisture content.,"#### Harvesting, processing, storage and transportation of tea:  
It takes two years for tea plants to be ready for harvesting. Picking of tea leaves requires experience because if it is done poorly, it may result in low-quality tea. Tea plants are normally plucked for 3-4 years after which all old branches are pruned for new shoots to grow. The plucked tea leaves undergo fermentation under regulated moisture to ensure quality tea product. Thereafter, tea leaves are rolled to enhance the breakup of the leaf cells and fibres. The leaves are then dried in temperatures of about 105°C. This process is called roasting or firing. Roasting stops fermentation and reduces moisture. Cool and dried tea is sorted in different sizes and graded. Unwanted particles are removed before packing. At this stage, tea is ready for consumption and export. Figure 2.6 shows the plucking of tea leaves in Iringa.  
Figure 2.6 Tea plucking in Mufindi, Iringa  
Source: Tea production...ratetea.com",tensor(0.4562),tensor(0.5492),tensor(0.4969),"Write True or False for the following statement:  
Secondary activities are carried out without depending on primary and tertiary activities.",tensor(0.3862),tensor(0.4438),tensor(0.4046)
True or False: The advancement in communication and transportation networks has had no significant impact on the growth of tourism globally.,"### Factors for the development and growth of tourism in the world  
The following are factors for the development and growth of tourism. These factors are features that encourage tourists to visit places for leisure, pleasure or education.  
- Tourist attractions: Tourist attractions include places with pleasant climate, beautiful and varied sceneries, different cultures, historical sites and monuments. Also, some features in Tanzania such as Mount Kilimanjaro, the highest free-standing mountain in the world, attract tourists.
- Advancement in communication and transportation network: Reliable communication network and advanced technology encourage the development of tourism in a country. For example, the use of the internet, television programmes, and social media, tourism trade fair and exhibitions has facilitated availability of information on tourism, hence it has led to an influx of tourists.",tensor(0.4791),tensor(0.5901),tensor(0.5276),Mention five factors for the development and growth of tourism in the world.,tensor(0.5666),tensor(0.5034),tensor(0.5327)
True or False: Manufacturing industries are only classified into processing industries.,"### Types of manufacturing industries  
Manufacturing industries can be grouped into two main types, namely, processing and fabrication industries.",tensor(0.4295),tensor(0.5492),tensor(0.4810),"Write True or False for the following statement:  
Tertiary activities provide services whereas secondary activities are done for processing and manufacturing goods.",tensor(0.5189),tensor(0.5871),tensor(0.5503)
"True or False: In bush fallowing, farmers move to new lands after the yield declines.","Small-scale crop cultivation is done by using different methods such as shifting cultivation, crop rotation, and bush fallowing.",tensor(0.4469),tensor(0.5463),tensor(0.4902),"Traditional livestock farming is practised in areas where there is:
(a) Very low rainfall
(b) Heavy rainfall
(c) No rainfall
(d) Dry lands",tensor(0.4396),tensor(0.3988),tensor(0.4134)
Define post-harvest processing of tea as mentioned in the textbook.,"#### Harvesting, processing, storage and transportation of tea:  
It takes two years for tea plants to be ready for harvesting. Picking of tea leaves requires experience because if it is done poorly, it may result in low-quality tea. Tea plants are normally plucked for 3-4 years after which all old branches are pruned for new shoots to grow. The plucked tea leaves undergo fermentation under regulated moisture to ensure quality tea product. Thereafter, tea leaves are rolled to enhance the breakup of the leaf cells and fibres. The leaves are then dried in temperatures of about 105°C. This process is called roasting or firing. Roasting stops fermentation and reduces moisture. Cool and dried tea is sorted in different sizes and graded. Unwanted particles are removed before packing. At this stage, tea is ready for consumption and export. Figure 2.6 shows the plucking of tea leaves in Iringa.  
Figure 2.6 Tea plucking in Mufindi, Iringa  
Source: Tea production...ratetea.com",tensor(0.3665),tensor(0.4767),tensor(0.4142),Mention three conditions necessary for successful growing of coffee.,tensor(0.4469),tensor(0.5361),tensor(0.4770)
What process is primarily responsible for the formation of groundwater?,"### Sustainable use of water resources  
Water resources come in many forms, but the three main categories are saltwater, groundwater, and surface water. Sustainable use of water resources includes all activities relating to current and future use of water resources in terms of protection, conservation, and management. There are surface and underground water sources.",tensor(0.3833),tensor(0.4791),tensor(0.4258),Name five uses of groundwater.,tensor(0.6135),tensor(0.5477),tensor(0.5787)
Explain the role of transport and communication in supporting tertiary economic activities.,"#### Tertiary activities:  
Tertiary activities belong to the service sector. These activities involve the provision of specialized services required for primary and secondary activities. Such activities include transport and communication, trading, administration, banking, and insurance.  
##### Transport and communication  
Transportation is the action or process of moving people, goods, and services from one place to another. This may be done by road, railway, air, pipeline, and water. Likewise, communication is the exchange of information between and among different people. Major means of communication include radio, television, newspapers, telephone, and the internet.  
##### Tourism",tensor(0.4012),tensor(0.4985),tensor(0.4433),"Write True or False for the following statement:  
Tertiary activities provide services whereas secondary activities are done for processing and manufacturing goods.",tensor(0.4604),tensor(0.4973),tensor(0.4780)
Describe the steps involved in the post-harvest processing and transportation of cloves as practiced in Zanzibar.,"#### Harvesting, processing and transportation of cloves:  
Clove trees can grow up to 15 meters high. Therefore, harvesting involves picking of flower buds which is done by climbing or scaling.
Harvesting is done by hand by skilled climbers. In Zanzibar, the harvesting occurs from September to November.
Sorting is necessary to separate leaves from the buds. The buds and flowers are left to dry in the sun for 3 - 7 days.
To ensure quality, the dirty and unwanted particles are removed from the dried cloves. The Zanzibar State Trading Corporation (ZSTC) is an organ responsible for buying and exporting cloves from the Isles in Tanzania to major importers such as Taiwan, India, the United Arab Emirates and the United Kingdom.",tensor(0.4228),tensor(0.5334),tensor(0.4700),"Write True or False for the following statement:  
Tertiary activities provide services whereas secondary activities are done for processing and manufacturing goods.",tensor(0.4134),tensor(0.4441),tensor(0.4281)
Name three industries that utilize sisal fiber based on its properties and describe the specific uses in each.,"#### Uses of sisal:  
Sisal is used to make ropes, buffing cloth, mattresses, carpets, handicraft mats, and baskets. Sisal is commonly used in the shipping industry for mooring small craft, lashing, and handling cargo. It is also used in the automobile industry with fiber glass in composite materials. Other products developed from sisal fibre include lumbar support belts, rugs, slippers, clothes and disc buffers. Farmers also use sisal fibre for tomato plant support and ropes for reinforcement of ceiling corners. Waste from sisal extraction can be used for making biogas, pharmaceutical ingredients and building materials. Fibres can also be used as fertiliser or animal feed.",tensor(0.3705),tensor(0.4615),tensor(0.4106),Differentiate between plantation agriculture and extensive cereal cultivation.,tensor(0.4812),tensor(0.4281),tensor(0.4531)
"Explain in detail the conditions necessary for growing sisal, including temperature, rainfall, soil requirements, and any challenges related to climate.","#### Conditions for growing sisal:  
Sisal growing needs high temperatures ranging between 25°C and 30°C. It also needs slight rainfall ranging from 650 mm to 1,500 mm. It is grown in well-drained loamy soil. This type of soil contains a lot of decayed vegetable matter with little amounts of sand and clay. Rainfall plays an important role as far as fibre production is concerned. On the whole, sisal does not need too much rainfall and cannot tolerate frosty conditions.",tensor(0.4058),tensor(0.4920),tensor(0.4446),Mention four crops that are grown in plantations.,tensor(0.5418),tensor(0.4143),tensor(0.4696)
Describe the process of evaporation as explained in the textbook. Include details about the conditions that favor high rates of evaporation.,"### Evaporation  
Evaporation is the process by which water changes from liquid to gas or vapour. During evaporation, water moves into the atmosphere in the form of water vapour or moisture. Water bodies such as rivers, lakes, seas, and oceans contribute about 90% of the moisture found in the atmosphere through evaporation. Water changes into vapour under the great influence of temperature. Areas with high temperatures and low humidity experience a high rate of evaporation. Evaporation is also determined by humidity and wind.",tensor(0.4380),tensor(0.5478),tensor(0.4867),"What is evaporation?
(a) Water freezes
(b) Water vapour meets cold air and changes back into liquid
(c) Water gets warm and changes from liquid to water vapour
(d) Plants take in water from the soil",tensor(0.4339),tensor(0.5049),tensor(0.4667)
True or False: Environmental pollution through littering and noise from transport is not a challenge faced by the tourism industry in Switzerland.,"#### Challenges facing the tourism industry in Switzerland:  
Heavy snow during winter hinders movement on roads, rails and runways which lowers the influx of tourists.
In some cases, the number of tourists fluctuate due to oper competitive countries such as the United States of America.
Tourist attraction centers also experience environmental pollution prough littering and noise from transport means such as trains and cars.",tensor(0.4392),tensor(0.5385),tensor(0.4835),Briefly explain any five factors for the growth and development of tourism in Switzerland.,tensor(0.6140),tensor(0.4919),tensor(0.5452)
"Define the term ""obstacles in energy production"" as used in the context of sustainable use of power and energy resources.","### Challenges facing power and energy production  
Power and energy production is facing many challenges. Some of these are described below.  
- Drought: Prolonged droughts decrease the volume of water, which in turn reduces the ability of hydro-electric power plants to produce electricity.
- Inadequate capital: The construction of dams and hydro-electric power stations requires heavy capital outlays. Capital is also essential in the production and transportation of natural gas. Unfortunately, many developing countries lack capital to harness fossil fuel and hydropower potentials.
- Transport and communication networks: These are inadequate in many developing countries, which hinders the extraction or transmission of energy and power.
- Poor technology and lack of skilled personnel: Some energy and power production systems such as nuclear, tidal, and geothermal energy require advanced technology, which is lacking in most developing countries.",tensor(0.4320),tensor(0.5358),tensor(0.4783),State five challenges facing solar and wind energy production in USA.,tensor(0.6160),tensor(0.5477),tensor(0.5798)
"Define the term ""drawbacks of commercial livestock-keeping"" as discussed in the context of the textbook.","#### Disadvantages of commercial livestock-keeping:  
Despite the advantages, commercial livestock-keeping is costly in establishing, operation, and maintenance. Moreover, it uses many resources mainly human and physical in the production process. Furthermore, commercial livestock-keeping needs large sparsely populated areas. If animal wastes and discards are not properly treated, they can cause water, land, and air pollution, and diseases.",tensor(0.4208),tensor(0.5003),tensor(0.4570),Differentiate between traditional and commercial livestock-keeping.,tensor(0.6042),tensor(0.4919),tensor(0.5398)
True or False: Palm oil is solely used for cooking.,"#### Uses of palm oil:  
Palm oil is used as vegetable oil for cooking, and making soap and candles. Residue from planting processed kernels can be used as animal fodder and manure.",tensor(0.4023),tensor(0.5646),tensor(0.4682),"Write True or False for the following statement:  
Palm oil tree is a tropical plant that originated from South Africa.",tensor(0.5376),tensor(0.6551),tensor(0.5906)
"Discuss the various ways tea is utilized both for consumption and medicinal purposes, including its preparation and related health benefits as mentioned within the context from the textbook. Additionally, reflect on its economic importance as highlighted in terms of cultivation and export.","#### Uses of tea:  
Tea is primarily used as a beverage. A person with a sore throat and a hoarse voice can get better after taking a few cups of strong tea.",tensor(0.4604),tensor(0.4728),tensor(0.4663),"Match each statement in Column A with the correct phrase in Column B:
| Column A | Column B |
| --------------------------------------------------------------------------------------------------------------------------- | -------------------------------- |
| 1. A type of agriculture involving growing of cash crops on large areas of land, mostly in tropical regions. | (i) Plantation agriculture |
| 2. Agriculture confined to the production of food crops for consumption by household members. | (f) Subsistence agriculture |
| 3. The system of keeping animals alongside cultivation. | (e) Mixed farming |
| 4. Another name for shifting cultivation. | (c) Slash and burn |
| 5. Beverage crops produced in plantations. | (g) Coffee and tea |
| 6. Labour is provided by the owner of the land and members of the family. | (h) Tea, cocoa and coffee |
| 7. A system of agriculture aimed at making profit through regular sale of farm products. | (b) Commercial livestock-keeping |
| 8. Countries practising the ranching system in the tropical savannah of Africa. | (l) Ranching |
| 9. It refers to the rearing of livestock with the main aim of producing meat, milk, wool and hides for commercial purposes. | (a) Tanzania, Ethiopia and Ghana |
| | (m) Tanzania, Kenya and Uganda |
| | (n) Coffee, maize and tea |",tensor(0.4630),tensor(0.4790),tensor(0.4594)
Has the Tanzanian government used revenue from natural gas to improve social services in education and health?,"#### Tanzania’s efforts in addressing the challenges of natural gas production  
Tanzania has been trying to overcome the challenges associated with the production of its natural gas. The government has been emphasising the use of revenue from natural gas to benefit the people in the areas producing the gas and the nation as a whole. The revenue from natural gas is used to improve social services in education and health. There have been various public programmes aimed to educate the public on natural gas benefits. The ministries responsible for energy and mineral resources in Tanzania conduct awareness creation programmes through various ways such as meetings and the media. The government also provides opportunities for training to Tanzanians in oil and natural gas. These training opportunities aim to build the country’s capacity for exploration, extraction, processing and supplying of natural gas.",tensor(0.4534),tensor(0.5751),tensor(0.5034),Outline the challenges facing natural gas extraction in Tanzania.,tensor(0.5439),tensor(0.4779),tensor(0.5083)
"Describe the importance of particle sizing in industries, as highlighted in the context of mineral processing and manufacturing.","#### Sizing:  
Sizing is the separation of particles according to size. The method involves screening or passing the particles to be separated through a screen.",tensor(0.4497),tensor(0.5254),tensor(0.4840),Describe five types of processing industries in Tanzania and give two examples for each type.,tensor(0.5332),tensor(0.4919),tensor(0.5113)
Define manufacturing industry.,"### The concept of manufacturing industry  
The manufacturing industry involves the processing and changing of raw materials into different semi-finished or finished products using tools and machines. It plays a major role in bringing about the development of a country. The ever-growing population with increased demands for goods and services is accommodated by the establishment of manufacturing industries. Such increased population demands more food, shelter, clothes and other services. The following section explains the importance of manufacturing industries in the world.",tensor(0.3530),tensor(0.5924),tensor(0.4416),"Define the following terms:
(a) Manufacturing industries
(b) Processing industries",tensor(0.4782),tensor(0.7366),tensor(0.5798)
"Explain the role of primary activities in human societies, detailing how they directly interact with the natural environment and lead to the development of secondary activities. Include examples of primary activities such as agriculture, mining, and fishing, and discuss how these are fundamental in providing raw materials and sustenance to human societies.","#### Primary activities:  
Primary activities are done by people when they interact directly with the natural environment to obtain their essential needs. These activities include agriculture, forestry, mining, and fishing.  
##### Agriculture:  
Agriculture is an activity which involves crop cultivation and livestock-keeping. It is the oldest human activity which has been practised by all societies in the world. It provides food for households and raw materials for industries. The type of agriculture practised in a given place is determined by various conditions of the area including climate, water availability, soil characteristics and terrain. It is also influenced by financial resources, infrastructure, technology and conditions of the market.",tensor(0.5235),tensor(0.5612),tensor(0.5404),"Write True or False for the following statement:  
Secondary activities are carried out without depending on primary and tertiary activities.",tensor(0.5217),tensor(0.4567),tensor(0.4870)
